,ad_id,ad_type,advertiser_id,advertiser_name,public_ids_list,date_range_start,date_range_end,num_of_days,impressions,spend_usd,first_served_timestamp,last_served_timestamp,age_targeting,gender_targeting,spend_range_min_usd,spend_range_max_usd,ad_url
24,CR309161332333084672,Video,AR481859527763820544,1111 LLC,EIN ID 82-2917146,2021-12-14,2021-12-20,7,100k-1M,1k-50k,2021-12-14 15:45:00+00:00,2021-12-20 20:30:00+00:00,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",1000,50000.0,https://transparencyreport.google.com/political-ads/library/advertiser/AR481859527763820544/creative/CR309161332333084672
25,CR376202954325098496,Video,AR481859527763820544,1111 LLC,EIN ID 82-2917146,2021-11-08,2021-12-29,52,1M-10M,1k-50k,2021-11-08 13:15:00+00:00,2021-12-29 12:30:00+00:00,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",1000,50000.0,https://transparencyreport.google.com/political-ads/library/advertiser/AR481859527763820544/creative/CR376202954325098496
26,CR420810141063970816,Video,AR481859527763820544,1111 LLC,EIN ID 82-2917146,2021-11-08,2021-12-12,35,1M-10M,1k-50k,2021-11-08 13:15:00+00:00,2021-12-12 11:00:00+00:00,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",1000,50000.0,https://transparencyreport.google.com/political-ads/library/advertiser/AR481859527763820544/creative/CR420810141063970816
27,CR568049591430152192,Image,AR107930363484962816,REPUBLICAN ADS LLC,EIN ID 85-1665180,2021-11-01,2021-11-02,2,≤ 10k,≤ 100,2021-11-01 16:45:00+00:00,2021-11-02 18:45:00+00:00,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",0,100.0,https://transparencyreport.google.com/political-ads/library/advertiser/AR107930363484962816/creative/CR568049591430152192
28,CR273864260302405632,Image,AR107930363484962816,REPUBLICAN ADS LLC,EIN ID 85-1665180,2021-10-31,2021-11-05,4,≤ 10k,≤ 100,2021-10-31 21:30:00+00:00,2021-11-05 12:30:00+00:00,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",0,100.0,https://transparencyreport.google.com/political-ads/library/advertiser/AR107930363484962816/creative/CR273864260302405632
29,CR316648456762425344,Image,AR107930363484962816,REPUBLICAN ADS LLC,EIN ID 85-1665180,2021-10-31,2021-11-05,6,≤ 10k,≤ 100,2021-10-31 22:15:00+00:00,2021-11-06 05:00:00+00:00,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",0,100.0,https://transparencyreport.google.com/political-ads/library/advertiser/AR107930363484962816/creative/CR316648456762425344
30,CR374632301964820480,Image,AR107930363484962816,REPUBLICAN ADS LLC,EIN ID 85-1665180,2021-10-31,2021-11-06,7,10k-100k,≤ 100,2021-10-31 20:30:00+00:00,2021-11-06 12:15:00+00:00,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",0,100.0,https://transparencyreport.google.com/political-ads/library/advertiser/AR107930363484962816/creative/CR374632301964820480
31,CR547457937665163264,Image,AR107930363484962816,REPUBLICAN ADS LLC,EIN ID 85-1665180,2021-10-31,2021-11-06,7,10k-100k,≤ 100,2021-10-31 19:00:00+00:00,2021-11-06 11:45:00+00:00,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",0,100.0,https://transparencyreport.google.com/political-ads/library/advertiser/AR107930363484962816/creative/CR547457937665163264
32,CR372943452104556544,Image,AR107930363484962816,REPUBLICAN ADS LLC,EIN ID 85-1665180,2021-10-31,2021-11-05,6,≤ 10k,≤ 100,2021-11-01 05:30:00+00:00,2021-11-06 05:30:00+00:00,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",0,100.0,https://transparencyreport.google.com/political-ads/library/advertiser/AR107930363484962816/creative/CR372943452104556544
33,CR569518538964860928,Image,AR107930363484962816,REPUBLICAN ADS LLC,EIN ID 85-1665180,2021-10-30,2021-11-06,8,10k-100k,≤ 100,2021-10-30 22:30:00+00:00,2021-11-06 13:15:00+00:00,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",0,100.0,https://transparencyreport.google.com/political-ads/library/advertiser/AR107930363484962816/creative/CR569518538964860928
34,CR371188631546626048,Image,AR107930363484962816,REPUBLICAN ADS LLC,EIN ID 85-1665180,2021-10-28,2021-10-28,1,10k-100k,≤ 100,2021-10-28 21:45:00+00:00,2021-10-29 07:00:00+00:00,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",0,100.0,https://transparencyreport.google.com/political-ads/library/advertiser/AR107930363484962816/creative/CR371188631546626048
35,CR475527886976057344,Image,AR107930363484962816,REPUBLICAN ADS LLC,EIN ID 85-1665180,2021-10-27,2021-10-28,2,≤ 10k,≤ 100,2021-10-28 00:15:00+00:00,2021-10-28 11:00:00+00:00,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",0,100.0,https://transparencyreport.google.com/political-ads/library/advertiser/AR107930363484962816/creative/CR475527886976057344
36,CR244999881050030080,Image,AR107930363484962816,REPUBLICAN ADS LLC,EIN ID 85-1665180,2021-10-27,2021-10-27,1,≤ 10k,≤ 100,2021-10-27 23:15:00+00:00,2021-10-28 06:45:00+00:00,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",0,100.0,https://transparencyreport.google.com/political-ads/library/advertiser/AR107930363484962816/creative/CR244999881050030080
37,CR16662995639730176,Video,AR481859527763820544,1111 LLC,EIN ID 82-2917146,2021-09-28,2021-10-17,20,100k-1M,1k-50k,2021-09-28 21:15:00+00:00,2021-10-18 00:45:00+00:00,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",1000,50000.0,https://transparencyreport.google.com/political-ads/library/advertiser/AR481859527763820544/creative/CR16662995639730176
38,CR189472894579900416,Image,AR221691299693068288,SAHAK NALBANDYAN,,2021-09-21,2021-12-13,83,10k-100k,100-1k,2021-09-21 13:15:00+00:00,2021-12-13 15:30:00+00:00,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",100,1000.0,https://transparencyreport.google.com/political-ads/library/advertiser/AR221691299693068288/creative/CR189472894579900416
39,CR472315663755509760,Image,AR221691299693068288,SAHAK NALBANDYAN,,2021-09-19,2021-12-01,13,≤ 10k,≤ 100,2021-09-19 08:30:00+00:00,2021-12-01 22:00:00+00:00,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",0,100.0,https://transparencyreport.google.com/political-ads/library/advertiser/AR221691299693068288/creative/CR472315663755509760
40,CR166331267191668736,Video,AR531555941510807552,THE FOUNDATION FOR GOVERNMENT ACCOUNTABILITY,EIN ID 45-2637507,2021-09-15,2021-09-21,7,10k-100k,100-1k,2021-09-15 15:15:00+00:00,2021-09-22 04:00:00+00:00,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",100,1000.0,https://transparencyreport.google.com/political-ads/library/advertiser/AR531555941510807552/creative/CR166331267191668736
41,CR25782070202597376,Image,AR221691299693068288,SAHAK NALBANDYAN,,2021-08-03,2021-12-12,132,100k-1M,100-1k,2021-08-03 21:45:00+00:00,2021-12-12 16:00:00+00:00,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",100,1000.0,https://transparencyreport.google.com/political-ads/library/advertiser/AR221691299693068288/creative/CR25782070202597376
42,CR442646373272125440,Video,AR348630054558760960,FLORIDA EDUCATION ASSOCIATION,EIN ID 59-3685521,2021-04-22,2021-04-30,9,100k-1M,1k-50k,2021-04-23 05:00:00+00:00,2021-05-01 04:15:00+00:00,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",1000,50000.0,https://transparencyreport.google.com/political-ads/library/advertiser/AR348630054558760960/creative/CR442646373272125440
43,CR416952985554255872,Video,AR348630054558760960,FLORIDA EDUCATION ASSOCIATION,EIN ID 59-3685521,2021-04-19,2021-04-22,4,100k-1M,1k-50k,2021-04-19 15:30:00+00:00,2021-04-23 05:00:00+00:00,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",1000,50000.0,https://transparencyreport.google.com/political-ads/library/advertiser/AR348630054558760960/creative/CR416952985554255872
44,CR243914594353938432,Video,AR348630054558760960,FLORIDA EDUCATION ASSOCIATION,EIN ID 59-3685521,2021-04-12,2021-04-18,7,100k-1M,1k-50k,2021-04-12 15:15:00+00:00,2021-04-19 04:30:00+00:00,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",1000,50000.0,https://transparencyreport.google.com/political-ads/library/advertiser/AR348630054558760960/creative/CR243914594353938432
45,CR208563096497684480,Video,AR348630054558760960,FLORIDA EDUCATION ASSOCIATION,EIN ID 59-3685521,2021-04-11,2021-04-12,2,≤ 10k,≤ 100,2021-04-12 05:15:00+00:00,2021-04-12 15:15:00+00:00,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",0,100.0,https://transparencyreport.google.com/political-ads/library/advertiser/AR348630054558760960/creative/CR208563096497684480
46,CR175911999199248384,Video,AR348630054558760960,FLORIDA EDUCATION ASSOCIATION,EIN ID 59-3685521,2021-04-11,2021-04-12,2,≤ 10k,≤ 100,2021-04-12 05:00:00+00:00,2021-04-12 14:30:00+00:00,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",0,100.0,https://transparencyreport.google.com/political-ads/library/advertiser/AR348630054558760960/creative/CR175911999199248384
47,CR507630259252756480,Video,AR348630054558760960,FLORIDA EDUCATION ASSOCIATION,EIN ID 59-3685521,2021-04-11,2021-04-12,2,≤ 10k,≤ 100,2021-04-12 05:15:00+00:00,2021-04-12 14:30:00+00:00,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",0,100.0,https://transparencyreport.google.com/political-ads/library/advertiser/AR348630054558760960/creative/CR507630259252756480
48,CR2457442847817728,Video,AR348630054558760960,FLORIDA EDUCATION ASSOCIATION,EIN ID 59-3685521,2021-04-06,2021-04-11,6,10k-100k,100-1k,2021-04-06 18:15:00+00:00,2021-04-12 04:00:00+00:00,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",100,1000.0,https://transparencyreport.google.com/political-ads/library/advertiser/AR348630054558760960/creative/CR2457442847817728
49,CR281962094721499136,Video,AR348630054558760960,FLORIDA EDUCATION ASSOCIATION,EIN ID 59-3685521,2021-04-06,2021-04-11,6,10k-100k,1k-50k,2021-04-06 18:15:00+00:00,2021-04-12 04:45:00+00:00,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",1000,50000.0,https://transparencyreport.google.com/political-ads/library/advertiser/AR348630054558760960/creative/CR281962094721499136
50,CR266586524118679552,Video,AR348630054558760960,FLORIDA EDUCATION ASSOCIATION,EIN ID 59-3685521,2021-04-04,2021-04-11,8,100k-1M,1k-50k,2021-04-05 05:00:00+00:00,2021-04-12 04:45:00+00:00,"18-24, 25-34, 35-44, 45-54, 55-64, ≥65, Unknown age, ≤18","Male, Female, Unknown gender",1000,50000.0,https://transparencyreport.google.com/political-ads/library/advertiser/AR348630054558760960/creative/CR266586524118679552
